customer_id,full_name,email,phone,address,service_plan,connection_type,monthly_fee,data_usage_gb,avg_speed_mbps,promised_speed,uptime_percentage,payment_status,last_payment_date,contract_start_date,active_tickets,ticket_type,ticket_status,last_ticket_date,customer_satisfaction
CUST000032,Joseph Carroll,carrollbrooke@example.org,433-227-7002x4103,"096 Mosley Cove Apt. 363
South Tracyville, TX 98099",Enterprise,Satellite,130.95,301.04,593.36,866.43,96.6,Pending,2024-12-16,2024-11-06,1,Technical Issue,Resolved,2024-12-05,10.0
CUST000033,Troy Hudson,vsimon@example.com,996-344-4120x403,"940 Foster Wall
Cervantestown, IA 84838",Basic,DSL,32.96,136.96,71.27,98.06,97.56,Pending,2024-10-28,2024-10-13,0,Connection Problem,Open,2024-12-01,10.0
CUST000034,Virginia Simpson MD,jasonjones@example.net,857.340.6099,"78453 Baker Gateway
Jacksonton, RI 76973",Enterprise,Fiber,135.51,441.86,828.72,885.0,99.53,Paid,2024-09-28,2024-04-05,2,Technical Issue,Resolved,2024-10-09,10.0
CUST000035,Willie Sanders,laurenwelch@example.org,001-763-503-2714x947,"PSC 6190, Box 2151
APO AP 06117",Standard,Cable,78.35,298.1,151.4,172.52,99.11,Paid,2023-11-14,2023-11-05,2,Service Request,In Progress,2024-10-03,10.0
CUST000036,Daniel Hodges,michelemassey@example.net,001-790-533-7116,"665 Rogers Meadows
Rileytown, KS 20422",Enterprise,Cable,169.54,646.44,842.1,853.45,98.89,Pending,2024-10-06,2024-02-25,0,Service Request,Closed,2024-07-28,10.0
CUST000037,David Maddox,simsgary@example.com,575-286-1084x11465,"3970 Jason Turnpike
Jessicaport, WI 54079",Standard,Satellite,72.07,132.44,66.21,104.68,97.23,Paid,2023-11-18,2023-02-13,1,Service Request,Open,2024-08-15,10.0
CUST000038,Deborah Gross,elam@example.org,258.320.2577,"8473 Chang Vista
Clarkebury, MS 78009",Standard,DSL,58.24,174.35,161.62,197.17,98.36,Paid,2024-11-07,2023-09-17,1,Technical Issue,Closed,2024-03-29,10.0
CUST000039,Matthew Cline,fnichols@example.net,+1-278-226-1671,"656 Sellers Gateway
North Joshuaton, WI 81537",Standard,Satellite,76.81,806.53,141.99,224.44,95.19,Pending,2024-06-06,2023-04-18,1,Service Request,Open,2024-05-02,10.0
CUST000040,Cody Patel,miguelrobertson@example.com,(231)856-2388,"USCGC Keller
FPO AA 38929",Premium,Fiber,111.31,164.17,299.92,318.24,99.35,Overdue,2024-06-16,2024-01-26,0,Billing Query,Closed,2024-02-03,10.0
CUST000041,Andres Graham,daniel15@example.com,990.565.9689x234,"PSC 4606, Box 1854
APO AP 58315",Premium,Fiber,89.87,906.64,295.71,301.51,99.45,Paid,2024-09-09,2024-08-16,0,Connection Problem,In Progress,2024-10-03,10.0
CUST000042,Kevin Acosta,jeffrey40@example.com,001-421-289-3502x1817,"35725 Heidi Street Apt. 226
North Brenda, FM 51703",Premium,Cable,98.69,163.57,297.3,307.68,98.98,Paid,2024-09-16,2024-04-07,1,Connection Problem,Resolved,2024-05-30,10.0
CUST000043,Ronald Wright,jwalter@example.org,001-936-661-2407x1302,"7396 Jennifer Flat Apt. 498
South Ashleyside, ND 85864",Premium,Satellite,95.56,982.8,288.19,442.02,94.5,Paid,2024-04-06,2024-02-24,0,Connection Problem,Resolved,2024-10-07,10.0
CUST000044,Jonathan Smith,evelyn94@example.org,+1-325-417-5692x61728,"Unit 5880 Box 7246
DPO AP 76065",Basic,Satellite,35.64,547.61,51.45,80.03,97.01,Paid,2024-10-12,2024-09-28,0,Connection Problem,In Progress,2024-10-06,10.0
CUST000045,Leah Carter,andreahowell@example.net,+1-957-963-7986,"Unit 4469 Box 4788
DPO AP 61343",Basic,Satellite,43.53,882.54,46.74,70.72,94.36,Paid,2024-02-28,2023-08-03,2,Technical Issue,Open,2023-11-02,9.53
CUST000046,Jacqueline Terrell,amanda53@example.com,5368278219,"953 Michaela Spurs
South Ronnieport, IN 81015",Standard,DSL,57.76,979.22,131.09,156.46,96.01,Pending,2024-09-10,2024-01-06,0,Billing Query,Closed,2024-03-14,10.0
CUST000047,Adam Perez,harrisonheather@example.org,253-830-2718x416,"7085 Thomas Manor Suite 236
East Diamondville, CT 00731",Standard,Satellite,66.21,242.36,111.48,171.57,97.33,Paid,2024-03-30,2024-03-29,0,Connection Problem,Resolved,2024-12-15,10.0
CUST000048,Matthew King,melindaporter@example.com,949.421.8443,"63371 Makayla Port Apt. 753
New Sheila, AR 93218",Premium,Fiber,109.86,86.8,407.44,382.68,99.68,Paid,2024-11-01,2023-05-31,1,Service Request,Open,2024-05-22,10.0
CUST000049,Mrs. Jessica Heath,william34@example.org,783.695.9020,"55927 Jones Mountain
Jeremiahside, DE 90013",Basic,Satellite,40.51,319.31,47.33,61.86,94.67,Paid,2024-12-19,2024-09-09,0,Connection Problem,Open,2024-10-03,10.0
CUST000050,Katrina Martinez,dhill@example.org,001-873-464-3470x531,"1891 Thomas Point Suite 412
East Jacquelinetown, MO 10510",Basic,Satellite,43.51,50.27,55.19,86.04,94.68,Paid,2024-04-18,2023-08-13,1,Billing Query,Resolved,2024-08-27,10.0
CUST000051,William Johnson,bryansandoval@example.org,(971)603-2159x27341,"28165 Lin Corner
Jessicaborough, MI 21124",Premium,DSL,107.6,956.68,330.59,394.97,95.9,Paid,2024-11-09,2023-08-06,0,Service Request,In Progress,2023-09-11,10.0
CUST000052,David Wheeler,crystalleblanc@example.com,+1-915-885-6976,"3700 Reese Flats Apt. 596
North Jamestown, MN 52300",Premium,DSL,116.46,198.03,427.54,498.92,95.47,Paid,2024-10-29,2024-10-27,0,Technical Issue,Closed,2024-11-11,10.0
CUST000053,Kent Madden,dianerivera@example.com,2376816452,"3636 Michael Terrace
Port Alanview, OK 49960",Enterprise,DSL,133.65,111.93,445.94,546.68,97.05,Overdue,2024-07-01,2023-10-19,0,Connection Problem,Resolved,2024-06-15,10.0
CUST000054,Stacy Johnson,james66@example.org,001-554-926-9832,"00764 Hernandez Valley
Lake James, RI 36229",Standard,Satellite,67.9,213.29,162.86,221.0,94.12,Paid,2024-04-16,2024-01-08,1,Technical Issue,Closed,2024-11-02,10.0
CUST000055,Rebecca Calderon,parkerjerry@example.org,889-298-8362x636,"452 Holland Mountains
Mirandaport, MA 64863",Enterprise,DSL,134.63,679.69,500.05,645.4,96.93,Overdue,2024-05-01,2024-04-10,0,Billing Query,In Progress,2024-09-06,10.0
CUST000056,Keith Swanson,vmack@example.org,+1-890-732-5505x364,"8760 Christine Throughway Suite 601
Christophertown, AR 83475",Premium,Cable,91.18,194.54,340.66,361.85,97.7,Paid,2024-11-22,2024-11-04,0,Connection Problem,Closed,2024-11-22,10.0
CUST000057,Nicolas Morris,santiagoomar@example.net,935.540.9380x2888,"30494 Williams Causeway Apt. 607
New Jonathan, AK 29828",Basic,DSL,33.0,431.61,74.66,96.19,95.97,Paid,2024-07-05,2023-12-21,0,Service Request,Closed,2024-07-09,10.0
CUST000058,Deborah Kim,whitejoseph@example.com,805-752-9470,"48512 Romero Court Apt. 873
Port Lynnstad, OK 18266",Standard,DSL,55.23,250.05,97.65,119.31,96.7,Paid,2024-05-08,2023-10-24,1,Billing Query,In Progress,2024-05-05,10.0
CUST000059,Daniel Yates II,rriggs@example.net,+1-535-341-0214x49461,"57323 Brittany Ferry Suite 261
South Walter, WV 62990",Basic,DSL,45.74,190.44,42.72,52.46,97.06,Paid,2024-08-22,2024-07-31,0,Technical Issue,Resolved,2024-12-20,10.0
CUST000060,Alexandria Small,fernandeztracy@example.org,(856)363-9212x1906,"8767 Justin Crest Suite 450
Butlerfort, MS 36564",Standard,Cable,71.21,519.53,242.58,251.91,99.28,Paid,2024-04-24,2024-04-10,1,Service Request,Open,2024-04-24,10.0
CUST000061,Kevin Lopez,mbrady@example.org,+1-463-617-2572x3503,"943 Karen Junction
Millston, SC 62739",Basic,Fiber,38.36,488.74,70.44,67.36,99.28,Paid,2024-10-25,2023-05-30,0,Technical Issue,In Progress,2024-11-10,10.0
CUST000062,Lee Mcgee,pattersonchristopher@example.com,(859)567-0417,"3421 Julie Island
Riceview, IA 60169",Premium,Satellite,94.06,166.34,253.57,338.83,95.23,Paid,2024-10-31,2023-08-29,0,Technical Issue,Open,2023-10-09,10.0
CUST000063,Dr. Emily Pitts,bpennington@example.org,729.216.1527x596,"6142 Betty Pike Apt. 554
East Jamesfurt, RI 14598",Premium,Fiber,100.0,146.31,421.52,452.58,99.84,Paid,2024-12-02,2023-08-23,0,Service Request,Closed,2024-09-21,10.0
CUST000064,Lisa Williams,michael61@example.org,295.921.5913x6011,"37886 Brian Haven
Jeffreyside, GA 83229",Basic,Cable,32.2,54.47,57.97,66.17,97.53,Paid,2023-07-18,2023-06-29,1,Billing Query,In Progress,2024-05-18,10.0
CUST000065,Shelia Wood,gallagherjohn@example.com,001-376-386-8756,"Unit 1756 Box 4731
DPO AP 94537",Premium,DSL,92.85,881.9,403.26,493.77,95.12,Paid,2024-12-17,2024-11-16,1,Technical Issue,Open,2024-11-19,10.0
CUST000066,Kevin Simpson,kylehowell@example.net,689-452-1496,"533 James Road Apt. 756
New Adam, WY 23676",Basic,Satellite,39.39,61.14,52.27,82.81,94.13,Paid,2024-11-02,2024-09-01,1,Technical Issue,Resolved,2024-12-10,10.0
CUST000067,Michael Smith,carolyn56@example.com,341-843-6417x413,"336 Jennifer Trail Apt. 851
Bradyton, MA 38449",Standard,DSL,76.52,402.14,147.17,177.38,97.72,Pending,2024-02-05,2023-06-30,0,Connection Problem,Open,2024-06-26,10.0
CUST000068,Doris Stanley,bauerrebecca@example.com,(639)565-1937,"450 Gross Plaza
Clarkborough, MH 01883",Basic,Satellite,34.12,371.46,63.8,98.64,96.79,Paid,2023-07-19,2023-05-10,0,Connection Problem,In Progress,2023-11-08,10.0
CUST000069,Sarah Higgins DDS,daniel85@example.net,001-879-279-5713x3780,"44218 Christensen Gateway
East Dean, IN 16182",Standard,Cable,51.33,802.99,124.79,130.75,98.69,Pending,2023-04-11,2023-02-20,0,Technical Issue,Open,2023-12-27,10.0
CUST000070,Matthew Tyler,johnsjason@example.net,662.208.2530x4838,"8467 Matthews Points Suite 292
Robertborough, NM 41846",Standard,Fiber,60.3,193.19,304.57,298.62,99.41,Paid,2024-08-06,2024-06-12,0,Connection Problem,Resolved,2024-11-19,10.0
CUST000071,Daniel Lane,hdouglas@example.net,821.294.7939,"7415 Bonnie Ways Suite 939
North Danielburgh, OR 54388",Enterprise,Satellite,167.23,314.91,576.63,840.4,95.3,Pending,2024-09-26,2024-09-19,0,Connection Problem,In Progress,2024-10-27,10.0
CUST000072,Dr. Grace Beltran,corey55@example.org,(531)445-9708x46203,"37188 Antonio Squares
Leonland, MH 11690",Enterprise,Satellite,145.32,802.45,541.27,818.06,97.39,Paid,2023-10-07,2023-04-18,0,Technical Issue,Closed,2023-10-21,10.0
CUST000073,Shawn Harris,natalie94@example.org,(495)956-3163x1584,"75295 John Cape
West Carla, HI 98032",Enterprise,Fiber,195.41,155.96,916.85,988.64,99.8,Paid,2024-08-21,2023-12-31,1,Technical Issue,Closed,2024-03-12,10.0
CUST000074,Richard Clark,zriley@example.org,(989)334-6430,"PSC 0568, Box 2094
APO AE 83242",Basic,DSL,37.35,619.55,72.89,89.95,96.42,Paid,2023-06-30,2023-06-01,2,Connection Problem,Resolved,2023-06-18,9.97
CUST000075,Brittany Jenkins,fletcherfrancisco@example.com,9924080945,"82715 Smith Bypass
East Samuelville, MH 44319",Basic,Cable,48.06,923.73,59.99,66.03,97.62,Paid,2024-08-29,2024-04-26,0,Service Request,Open,2024-11-04,10.0
CUST000076,Jennifer Reynolds,cclark@example.com,001-844-502-0636,"22379 Lisa Drive
New Jeffery, AR 94427",Enterprise,Fiber,127.69,547.12,531.46,507.07,99.5,Paid,2024-08-16,2024-07-12,1,Technical Issue,Closed,2024-10-07,10.0
CUST000077,Brian Brown,ccoffey@example.com,4263551547,"666 Jordan Walks Suite 097
New Shelia, VT 96174",Basic,DSL,36.8,141.66,78.3,98.19,97.03,Paid,2024-11-24,2024-04-11,2,Service Request,Closed,2024-06-28,10.0
CUST000078,Barbara Lewis,christophermullen@example.org,001-613-995-6439,"USNV Perez
FPO AA 59128",Premium,Satellite,82.45,431.07,256.26,363.27,94.93,Paid,2024-11-28,2023-12-01,0,Billing Query,Open,2024-11-29,10.0
CUST000079,Allison Evans,dawn66@example.net,(396)531-8327x6309,"2121 Martin Cliff
New Pamview, TN 91567",Enterprise,Satellite,154.25,619.53,436.61,664.53,95.65,Paid,2024-07-27,2023-12-12,2,Technical Issue,Open,2023-12-12,9.94
CUST000080,Rebecca Hardy,hamptonelizabeth@example.com,001-456-533-0948x749,"371 Ferguson Via Apt. 795
Jenningsfurt, VA 94061",Premium,DSL,110.02,707.82,262.68,306.3,97.41,Paid,2024-04-11,2024-02-23,0,Connection Problem,Closed,2024-04-17,10.0
CUST000081,Anthony Richards,mgibson@example.net,834.507.9124x38786,"255 Holly Roads
Josephhaven, MN 11338",Premium,Cable,98.78,486.74,437.91,493.2,97.34,Paid,2024-08-14,2023-11-25,0,Service Request,Open,2024-08-12,10.0
CUST000082,Diana Hanson,michaelwalker@example.com,001-738-295-3067x2671,"536 Frederick Course Apt. 172
Jacobsview, IN 72674",Premium,Fiber,108.67,448.75,354.57,348.87,99.35,Pending,2024-07-04,2024-07-04,0,Billing Query,Resolved,2024-10-03,10.0
CUST000083,James Berry,kyle45@example.org,527-215-2654x2410,"19023 Shaw Mountains Apt. 108
North Kyleview, GA 71206",Basic,DSL,44.37,880.25,75.53,98.17,98.1,Paid,2024-03-26,2023-08-29,1,Billing Query,Resolved,2024-06-23,10.0
CUST000084,Christopher Velasquez,isaacmiller@example.net,3395433033,"9443 William Trail
Port Christianhaven, PA 25771",Premium,Satellite,115.32,822.4,256.6,407.28,94.05,Paid,2023-08-02,2023-03-23,0,Service Request,Closed,2023-05-25,10.0
CUST000085,Jessica Moreno,belinda50@example.com,418.488.7296x2674,"PSC 1293, Box 4942
APO AE 20472",Enterprise,Cable,182.12,889.34,788.1,837.81,97.82,Paid,2024-06-17,2023-01-12,0,Connection Problem,Closed,2023-10-07,10.0
CUST000086,Samantha Reed,nataliebennett@example.net,(231)683-8839,"PSC 7471, Box 3060
APO AE 36606",Enterprise,Fiber,125.13,131.09,896.05,972.23,99.34,Paid,2023-07-31,2023-03-13,2,Technical Issue,In Progress,2023-11-24,10.0
CUST000087,Kerri Chavez,caseytheresa@example.org,2572505546,"380 Daniel River Suite 426
Paulmouth, LA 90712",Standard,DSL,64.57,414.79,224.46,259.13,96.18,Paid,2024-07-08,2024-06-28,0,Billing Query,Resolved,2024-09-29,10.0
CUST000088,Cassandra Reed,barry54@example.org,(880)209-3480x261,"64086 Jessica Trafficway Suite 830
New Kathleenview, CA 76622",Basic,Satellite,37.74,491.46,49.82,65.3,94.58,Paid,2024-12-09,2024-03-08,0,Connection Problem,Resolved,2024-07-04,10.0
CUST000089,Richard Lawrence,jgray@example.net,+1-475-334-4160,"95286 Wang Orchard Apt. 574
Reginaport, AZ 80557",Premium,DSL,93.88,429.42,270.5,325.47,97.21,Paid,2024-08-15,2024-08-06,2,Connection Problem,In Progress,2024-12-16,10.0
CUST000090,Natalie Wright,bryantsuzanne@example.com,(250)929-9696,"55062 Romero Forest Suite 004
New Rachel, PA 42946",Enterprise,Cable,180.18,550.43,513.0,540.66,97.46,Paid,2023-09-07,2023-05-11,0,Connection Problem,In Progress,2023-12-20,10.0
CUST000091,Jacob Short,gmorris@example.net,(641)250-7170x1075,"15294 Debra Skyway
Lake Angelaside, FL 54759",Enterprise,Satellite,169.79,707.56,430.13,612.25,95.59,Pending,2024-04-30,2023-12-04,2,Technical Issue,Open,2024-07-05,9.83
CUST000092,Joshua Jones,blakescott@example.org,674.231.9314x1468,"685 Reeves Divide
New Marcoborough, VA 04401",Standard,Satellite,68.41,406.6,186.27,283.33,96.95,Paid,2024-12-15,2024-09-11,0,Billing Query,In Progress,2024-12-12,10.0
CUST000093,Miguel Walker,davidpope@example.org,+1-490-864-2695x975,"73727 Andrew Loaf Apt. 226
Port John, PW 13445",Enterprise,Satellite,186.67,628.3,670.02,924.53,94.33,Paid,2024-01-08,2023-12-15,0,Connection Problem,In Progress,2024-04-24,10.0
CUST000094,Heidi Smith,penakimberly@example.com,+1-498-781-4730x8676,"445 Johnson Isle
Summerburgh, GU 58352",Enterprise,Satellite,157.97,879.85,384.16,599.74,94.41,Paid,2024-06-05,2024-03-10,0,Connection Problem,In Progress,2024-11-28,10.0
CUST000095,Timothy Jones,rosslinda@example.com,(281)280-2881,"06447 Brandon Ridges
Rachaelborough, WA 56493",Standard,Satellite,58.22,334.88,105.71,165.87,96.95,Paid,2024-10-28,2024-05-26,0,Service Request,In Progress,2024-08-25,10.0
CUST000096,Brandon Sandoval,qwallace@example.net,333-896-1499x0763,"183 Stevenson Mills Apt. 144
Copelandborough, WV 27313",Enterprise,Satellite,192.42,594.37,648.18,943.22,94.18,Paid,2024-10-11,2023-11-22,1,Connection Problem,Resolved,2024-08-05,10.0
CUST000097,Jessica Rice,fdixon@example.org,001-581-275-4387,"3005 Parks Bridge Apt. 726
Lake Michael, NY 47763",Premium,DSL,117.87,813.27,424.67,490.07,96.27,Paid,2024-11-21,2024-05-16,2,Technical Issue,Open,2024-11-13,10.0
CUST000098,Kelly Hughes,christopher80@example.net,668.521.7482x9995,"690 Fox Curve Apt. 782
South Heatherport, AL 50503",Premium,DSL,103.89,663.08,269.67,308.47,95.14,Pending,2023-10-13,2023-08-23,0,Billing Query,In Progress,2024-06-06,10.0
CUST000099,Anna Brooks,michaelkennedy@example.net,001-460-260-3941x713,"22328 Moyer Locks Apt. 615
West Robertland, MP 90686",Enterprise,Cable,185.26,700.92,609.81,678.69,98.66,Pending,2024-12-12,2023-09-13,0,Service Request,Resolved,2024-12-15,10.0
CUST000100,Shawn Foley,ubailey@example.net,(581)666-8258,"4191 Harvey Mountain
Christineville, FL 78872",Enterprise,Satellite,197.9,437.62,451.62,668.34,96.4,Paid,2024-11-17,2023-07-23,0,Service Request,Resolved,2024-10-16,10.0
CUST000101,Jessica Henry,heather89@example.com,515-599-4902x42067,"39492 Maldonado Grove Apt. 098
Port Larry, HI 69802",Premium,DSL,105.86,740.44,371.01,474.57,96.68,Pending,2023-12-13,2023-01-04,0,Service Request,Open,2024-01-11,10.0
CUST000102,Matthew Cook,jenny94@example.com,2523955101,"553 Morales Summit Suite 159
Shanehaven, NJ 04076",Enterprise,Satellite,161.95,726.71,703.19,933.09,96.65,Paid,2024-06-15,2023-06-28,0,Connection Problem,Open,2024-03-23,10.0
CUST000103,Ronald Chavez,lisascott@example.net,(600)406-5207x871,"77142 Carroll Key Suite 279
Scotthaven, MN 50876",Premium,Fiber,91.0,733.22,504.43,496.8,99.88,Paid,2024-09-23,2024-08-15,0,Service Request,In Progress,2024-08-26,10.0
CUST000104,Kim Marshall,xsmith@example.net,+1-211-338-3527x86046,"19886 Robin Via
North Douglasview, WY 20778",Standard,Fiber,60.99,513.54,178.14,197.76,99.83,Paid,2023-12-29,2023-02-10,2,Technical Issue,Resolved,2023-10-14,10.0
CUST000105,Raymond Jones,lechristina@example.net,2447191608,"658 Omar Divide
Wesleymouth, AK 82510",Basic,Satellite,48.06,970.51,47.6,69.63,97.05,Paid,2024-10-25,2024-08-27,0,Connection Problem,Open,2024-12-12,10.0
